>      0.6000      0.4500      1.0000      5.0000
>  150      0.1000
   11.10    80.252   174.128   268.003    93.875  0.318E+11  0.295E-08
   11.20    81.086   175.844   270.603    94.759  0.318E+11  0.298E-08
   11.30    81.919   177.561   273.203    95.642  0.318E+11  0.301E-08
   11.40    82.753   179.278   275.803    96.525  0.318E+11  0.304E-08
   11.50    83.586   180.995   278.403    97.408  0.318E+11  0.306E-08
   11.60    84.420   182.711   281.003    98.292  0.318E+11  0.309E-08
   11.70    85.253   184.428   283.603    99.175  0.318E+11  0.312E-08
   11.80    86.087   186.145   286.203   100.058  0.318E+11  0.315E-08
   11.90    86.920   187.862   288.803   100.941  0.318E+11  0.318E-08
   12.00    87.754   189.578   291.403   101.825  0.318E+11  0.320E-08
   12.10    88.587   191.295   294.003   102.708  0.318E+11  0.323E-08
   12.20    89.421   193.012   296.603   103.591  0.318E+11  0.326E-08
   12.30    90.254   194.729   299.203   104.474  0.318E+11  0.329E-08
   12.40    91.088   196.445   301.803   105.358  0.318E+11  0.331E-08
   12.50    91.921   198.162   304.403   106.241  0.318E+11  0.334E-08
   12.60    92.755   199.879   307.003   107.124  0.318E+11  0.337E-08
   12.70    93.588   201.596   309.603   108.008  0.318E+11  0.340E-08
   12.80    94.422   203.312   312.203   108.891  0.318E+11  0.343E-08
   12.90    95.255   205.029   314.803   109.774  0.318E+11  0.345E-08
   13.00    96.088   206.746   317.403   110.657  0.318E+11  0.348E-08
   13.10    96.922   208.463   320.003   111.541  0.318E+11  0.351E-08
   13.20    97.755   210.179   322.603   112.424  0.318E+11  0.354E-08
   13.30    98.589   211.896   325.203   113.307  0.318E+11  0.356E-08
   13.40    99.422   213.613   327.803   114.190  0.318E+11  0.359E-08
   13.50   100.256   215.330   330.403   115.074  0.318E+11  0.362E-08
   13.60   101.089   217.046   333.003   115.957  0.318E+11  0.365E-08
   13.70   101.923   218.763   335.603   116.840  0.318E+11  0.368E-08
   13.80   102.756   220.480   338.203   117.723  0.318E+11  0.370E-08
   13.90   103.590   222.197   340.803   118.607  0.318E+11  0.373E-08
   14.00   104.423   223.913   343.403   119.490  0.318E+11  0.376E-08
   14.10   105.257   225.630   346.003   120.373  0.318E+11  0.379E-08
   14.20   106.090   227.347   348.603   121.256  0.318E+11  0.381E-08
   14.30   106.924   229.064   351.203   122.140  0.318E+11  0.384E-08
   14.40   107.757   230.780   353.803   123.023  0.318E+11  0.387E-08
   14.50   108.591   232.497   356.403   123.906  0.318E+11  0.390E-08
   14.60   109.424   234.214   359.003   124.789  0.318E+11  0.393E-08
   14.70   110.258   235.931   361.603   125.673  0.318E+11  0.395E-08
   14.80   111.091   237.647   364.203   126.556  0.318E+11  0.398E-08
   14.90   111.925   239.364   366.803   127.439  0.318E+11  0.401E-08
   15.00   112.758   241.081   369.403   128.322  0.318E+11  0.404E-08
