    7.20   107.567   353.208   122.821  0.294E+11  0.418E-08
    7.25   108.401   355.810   123.705  0.294E+11  0.421E-08
    7.30   109.234   358.411   124.588  0.294E+11  0.424E-08
    7.35   110.068   361.012   125.472  0.294E+11  0.427E-08
    7.40   110.902   363.613   126.355  0.294E+11  0.430E-08
    7.45   111.736   366.214   127.239  0.294E+11  0.433E-08
    7.50   112.570   368.815   128.123  0.294E+11  0.436E-08
    7.55   113.404   371.416   129.006  0.294E+11  0.439E-08
    7.60   114.237   374.017   129.890  0.294E+11  0.442E-08
    7.65   115.071   376.619   130.774  0.294E+11  0.445E-08
    7.70   115.905   379.220   131.657  0.294E+11  0.448E-08
    7.75   116.739   381.821   132.541  0.294E+11  0.451E-08
    7.80   117.573   384.422   133.425  0.294E+11  0.454E-08
    7.85   118.407   387.023   134.308  0.294E+11  0.457E-08
    7.90   119.241   389.624   135.192  0.294E+11  0.460E-08
    7.95   120.074   392.225   136.076  0.294E+11  0.463E-08
    8.00   120.908   394.827   136.959  0.318E+11  0.431E-08
    8.05   121.767   397.504   137.869  0.318E+11  0.434E-08
    8.10   122.625   400.182   138.778  0.318E+11  0.437E-08
    8.15   123.483   402.859   139.688  0.318E+11  0.439E-08
    8.20   124.342   405.537   140.598  0.318E+11  0.442E-08
    8.25   125.200   408.215   141.507  0.318E+11  0.445E-08
    8.30   126.059   410.892   142.417  0.318E+11  0.448E-08
    8.35   126.917   413.570   143.327  0.318E+11  0.451E-08
    8.40   127.775   416.248   144.236  0.318E+11  0.454E-08
    8.45   128.634   418.925   145.146  0.318E+11  0.457E-08
    8.50   129.492   421.603   146.055  0.318E+11  0.459E-08
    8.55   130.350   424.281   146.965  0.318E+11  0.462E-08
    8.60   131.209   426.958   147.875  0.318E+11  0.465E-08
    8.65   132.067   429.636   148.784  0.318E+11  0.468E-08
    8.70   132.926   432.314   149.694  0.318E+11  0.471E-08
    8.75   133.784   434.991   150.604  0.318E+11  0.474E-08
    8.80   134.642   437.669   151.513  0.318E+11  0.477E-08
    8.85   135.501   440.346   152.423  0.318E+11  0.479E-08
    8.90   136.359   443.024   153.333  0.318E+11  0.482E-08
    8.95   137.217   445.702   154.242  0.318E+11  0.485E-08
    9.00   138.076   448.379   155.152  0.318E+11  0.488E-08
    9.05   138.934   451.057   156.061  0.318E+11  0.491E-08
    9.10   139.793   453.735   156.971  0.318E+11  0.494E-08
    9.15   140.651   456.412   157.881  0.318E+11  0.497E-08
    9.20   141.509   459.090   158.790  0.318E+11  0.499E-08
    9.25   142.368   461.768   159.700  0.318E+11  0.502E-08
    9.30   143.226   464.445   160.610  0.318E+11  0.505E-08
    9.35   144.084   467.123   161.519  0.318E+11  0.508E-08
    9.40   144.943   469.800   162.429  0.318E+11  0.511E-08
    9.45   145.801   472.478   163.338  0.318E+11  0.514E-08
    9.50   146.660   475.156   164.248  0.318E+11  0.517E-08
    9.55   147.518   477.833   165.158  0.318E+11  0.520E-08
    9.60   148.376   480.511   166.067  0.318E+11  0.522E-08
    9.65   149.235   483.189   166.977  0.318E+11  0.525E-08
    9.70   150.093   485.866   167.887  0.318E+11  0.528E-08
    9.75   150.951   488.544   168.796  0.318E+11  0.531E-08
    9.80   151.810   491.222   169.706  0.318E+11  0.534E-08
    9.85   152.668   493.899   170.616  0.318E+11  0.537E-08
    9.90   153.527   496.577   171.525  0.318E+11  0.540E-08
    9.95   154.385   499.255   172.435  0.318E+11  0.542E-08
   10.00   155.243   501.932   173.344  0.318E+11  0.545E-08
   10.05   156.102   504.610   174.254  0.318E+11  0.548E-08
   10.10   156.960   507.287   175.164  0.318E+11  0.551E-08
   10.15   157.818   509.965   176.073  0.318E+11  0.554E-08
   10.20   158.677   512.643   176.983  0.318E+11  0.557E-08
   10.25   159.535   515.320   177.893  0.318E+11  0.560E-08
   10.30   160.394   517.998   178.802  0.318E+11  0.562E-08
   10.35   161.252   520.676   179.712  0.318E+11  0.565E-08
   10.40   162.110   523.353   180.622  0.318E+11  0.568E-08
   10.45   162.969   526.031   181.531  0.318E+11  0.571E-08
   10.50   163.827   528.709   182.441  0.318E+11  0.574E-08
   10.55   164.685   531.386   183.350  0.318E+11  0.577E-08
